COD_RUBRICA;DESCR_RUBRICA
914;Base Prev 13o Salário Outro Órgão - SBCPREV (SBC
915;Base Prev 13o Sal. Outro Órgão - RPPS 11%/22%
916;IPMJ patronal
917;IPREM Base de Previdência 13º - órgão de origem
918;SPPREV Base de Previdência 13º - órgão de origem
919;Patronal IPREV 13º
920;Base IPREV 13º
921;IPREV Empresa - 19D
922;Base IPREV
923;Base Previdência Órgão de Origem
924;Previdencia Empresa
925;Previdencia Empresa 13º
926;Previdencia Empresa - Estatutarios
927;Prev. PATRONAL 13º - Estatutarios
928;INSS JÁ PAGO ( OUTRO ORGÃO)
929;13º Salário RECEBIDO A MAIOR
930;DESC. IINSUFICIENCIA SALDO 13º
931;RENDA BRUTA ISENTA
932;VALE REFEICAO ESTAGIARIOS
933;VALE TRANSPORTE ESTAGIARIOS
934;MARGEM CONSIGNAVEL
935;DEDUÇÃO TETO INSS BASE IPREM
935;VALE REFEICAO ESTAGIARIOS
935;DESCONTO APOSENTADOS INVALIDEZ
936;VALE REFEICAO ( SERVIDORES)
937;VENCIMENTOS FIXOS (CONSIGNAÇÕES)
938;DESCONTOS EMPRESTIMOS (CONSIGNAÇÕES)
939;DESCONTOS FACULTATIVOS (CONSIGNAÇÕES)
940;DEDUÇÃOTETO INSS -  ISENTOS IRRF/INVALID
941;DESCONTOS OBRIG + FACULT  ( CONSIGNACOES)
942;BASE DE PREVIDENCIA 13º - VINCULO 22B
943;PREVIDENCIA SOCIAL 13º
944;RENDIMENTOS TRIBUTAVEIS FERIAS
945;Base Prev 13º Origem - 23C 23G 19C 22C
946;Prev. PATRONAL  13º
947;SPPREV  empresa
948;INSS JÁ PAGO ( OUTRO ORGÃO) 13º
949;RENDA BRUTA 13º
950;Previdência sobre RRA
951;I. R. R. F. s/  RRA
952;RESULTADO RRA
953;Pensão Alimentícia s/  R.R.A.
954;Previdencia social s/ R.R.A.
955;Base de Calculo de IRRF s/ R.R.A.
956;Total Líquido do órgão de origem
957;RENDA BRUTA ISENTOS 13º
958;Contr Prev Empresa - IPRED (Diadema)
959;Contr Prev Emp - CAMPREV (Campinas)
960;Contr Prev Emp - SBCPREV (SBC)
961;Reserva Técnica SBCPREV
962;Dif. mês ant Reserva Técnica SBCPREV
963;Contr Prev Emp 13o - CAMPREV (Campinas)
964;Prev Emp 13o - SBCPREV (SBC)
965;Reserva Técnica 13o SBCPREV
966;Contr Prev Emp 13o - RPPS-19E
967;RioPretoPREV empresa
968;RioPretoPREV empresa 13º
969;VALE ALIMENTAÇÃO (SERVIDORES)
970;Base de Cálculo IPMJ
971;Base de Cálculo IPMJ 13º
972;Base de previdência Vinculo 20B
973;Contrib. Previd. Compl. Patrocinador (Patronal)
974;Contrib. Previd. Compl. 13º salário Patrocinador (Patronal)
975;VALE REFEICAO ESTAGIARIOS
976;Dedução Simplificada MP nº 1171/23
977;Dedução Simplificada 13º salário MP nº 1171/23
978;Dedução Simplificada Férias MP nº 1171/23
980;IPMJ Base de Previdência da Origem
981;IPMJ Base de Previdência 13º da Origem
982;IPMJ patronal 13º
983;Base de Cálculo Contribuição Prev. Complementar 13º salário
985;Base Calculo IRRF no Exterior
986;Desconto IRRF no Exterior
999;Atualização Monetária do Cálculo Retroativo
1001;Contem o Valor da Base de Calculo QPA-01
1002;Contem o Valor da Base de Calculo DAS-16
1003;Contem o Valor da Base de Calculo QPA-13
1004;Contem o Valor da Base de Calculo DAS-15
1005;Diária - rend. isento - OI 460-13
1012;ADICIONAL INSALUBRIDADE (idem 12)
1012;ADICIONAL INSALUBRIDADE ( idem 12)
1012;ADICIONAL INSALUBRIDADE (idem 12)
1024;numero de avos p/ decimo terceiro
1039;FERIAS FIM MANAD
1065;FÉRIAS INDENIZADAS
1100;Afastamento GLIEP
1101;Dias de Gliep ( considerando periodo de 90 dias)
1102;Afastamento Licenca sem Gliep
1147;ABONO RESOL.5/84 (idem 147)
1149;Indice 149
1149;Indice informado do evento 149
1149;Inormação manual do indice 149
1153;Adicional Especial 1/3
1154;Idem ao 153
1158;GRAT.GAB.PERMANENTE - Valor
1160;GRAT.GAB.CONTINUA - Valor
1163;SEXTA PARTE (Incluindo evento 318/337)
1163;SEXTA PARTE ( incluindo evento 318)
1165;DEVOLUÇÃO IR - ANOS ANTERIORES
1168;DIF. DE 13º
1171;Indice Informado do evento 171
1209;Dif. Reajuste Retroativo a março/2012 - 12,2116%
1211;DEVOLUCAO DE FALTAS - ADITAMENTO (1)
1212;DEVOLUCAO DE FALTAS - ADITAMENTO (2)
1213;DEVOLUCAO DE FALTAS - ADITAMENTO (VER)
1214;DEVOLUCAO DE LICENÇA VEREADOR ( ADITAMENTO)
1215;DEVOLUCAO DE FALTAS - ADITAMENTO (3)
1223;P.Assecuratória s/ Décimo - Art. 8º Ato 1142/11
1284;GRAT.GAB.INCORPORADA - Valor
1286;Indice do 286
1286;Indice do 286
1287;Dif. FG
1291;Bloqueia o 291 no Salario
1292;Bloqueia o 292 no Salario
1302;Indice do Evento 302 (digitado)
1303;Abono Permanencia - RRA
1310;Bloqueia o  310 no salário
1313;Dif. FG B IPREM
1315;DIF. FG não BP
1318;Parc.Suplemen.Mes Anterior
1319;GLIEP SUBSTITUIÇÃO
1320;Dif. Gratificação 14.381/07 Ato 974/07
1322;GLIEP (sem prev) - Substituição
1323;Dif.Gratificação 14.381/07  Ato 974/07 (sem prev)
1324;Grat.Gab.Inc. - Valor
1325;Grat.Gab.Cont. - Valor
1326;Grat.Gab.Perm. - Valor
1327;DIF.GLIEP BP
1329;DIF. GRAT.GCM LEI 14043/05
1330;Bloqueia evento 329
1401;ISENTO DE IRRF POR PRAZO DETERMINADO
1410;Credito de Previdencia Ferias
1411;Credito de Previdencia Mensal
1421;FALTAS INJUSTIFICADAS (Informado)
1426;Cont. sindical ANO CORRENTE
1434;HSPM - Informado
1443;PENSAO ALIM. NAS FERIAS (MENSAL)
1448;IRRF Anterior - Exterior
1460;Devolução prev. CAMPREV
1462;INSS segurado de RRA para a DIRF
1500;FALTAS JUSTIFICADAS (Informado)
1512;Licença - Vereador (acerto)
1570;Bloqueia Evento 570
1571;Teto Salarial Individual
1572;Eventos Prefeitura ( Base INSS)
1573;Eventos Prefeitura ( Base INSS) 13º
1578;INSS Anterior Patronal
1581;SPPREV Anterior Patronal
1582;RioPretoPrev Anterior Patronal
1595;PATRONAL PREV ANTERIOR
1600;Ajusta previdencia empresa 23
1601;Pensão Alimenticia - Ferias
1602;Pensão Alimenticia - 13º
1603;Pensão Alimenticia - Mensal
1702;1/3 FERIAS FIM MANAD
1710;GRAT.ESP. ESTATUTAR MES ANTERIOR
1711;Dif.Grat.Esp.Estat.não base Prev
1801;Rendimentos Tributáveis - Exterior
1802;REND TRIB FERIAS MANAD
1804;Base de IRRF 13o salário MANAD
1806;Base de cálculo IRRF MANAD
1807;Guarda valor dependentes
1816;Base calculo INSS - MANAD
1827;BASE PREV 13 MANAD
1901;Quantidade de meses - RRA
1902;Numero de Processo - RRA
1903;Abono de Permanência - RRA
1920;FUNPREV Patronal Extraordinária - Decreto nº 61.151, art 20
1921;FUNFIN Patronal Extraordinária - Decreto nº 61.151, art 21
1922;FUNPREV Patronal 13º Extraordinária - Decreto nº 61.151, art 20
1923;FUNFIN Patronal 13º Extraordinária - Decreto nº 61.151, art 21
1924;Previd Empresa - complemento
1958;Diferença Cont Prev Empresa IPRED
1959;Devolução CAMPREV empresa
2000;PENSAO CREDITO
2001;Pensão Base PAG-10066/1
2002;Pensão Base PAG-10147/1
2003;Pensão Base PAG-10173/1
2004;Pensão Base PAG-10263/1
2005;Pensão Base 13o-10263/1
2006;Pensão Base PAG-10295/1
2007;Pensão Base PAG-10359/1
2008;Pensão Base 13o-10359/1
2009;Pensão Base PAG-10359/2
2010;Pensão Base 13o-10359/2
2011;Pensão Base PAG-10359/3
2012;Pensão Base 13o-10359/3
2013;Pensão Base PAG-10359/4
2014;Pensão Base 13o-10359/4
2015;Pensão Base PAG-10359/5
2016;Pensão Base 13o-10359/5
2017;Pensão Base PAG-10369/1
2018;Pensão Base 13o-10369/1
2019;Pensão Base PAG-10381/1
2020;Pensão Base PAG-10389/1
2021;Pensão Base PAG-10429/1
2022;Pensão Base 13o-10429/1
2023;Pensão Base PAG-10459/1
2024;Pensão Base PAG-10470/1
2025;Pensão Base PAG-10511/1
2026;Pensão Base 13o-10511/1
2027;Pensão Base PAG-10520/1
2028;Pensão Base 13o-10520/1
2029;Pensão Base PAG-10520/2
2030;Pensão Base PAG-10521/1
2031;Pensão Base 13o-10521/1
2032;Pensão Base PAG-10524/1
2033;Pensão Base 13o-10524/1
2034;Pensão Base PAG-10524/2
2035;Pensão Base 13o-10524/2
2036;Pensão Base PAG-10549/1
2037;Pensão Base PAG-10581/1
2038;Pensão Base 13o-10581/1
2039;Pensão Base PAG-10593/1
2040;Pensão Base 13o-10593/1
2041;Pensão Base PAG-10593/2
2042;Pensão Base 13o-10593/2
2043;Pensão Base PAG-10593/3
2044;Pensão Base 13o-10593/3
2045;Pensão Base PAG-10605/1
2046;Pensão Base 13o-10605/1
2047;Pensão Base PAG-10682/1
2048;Pensão Base PAG-10688/1
2049;Pensão Base 13o-10688/1
2050;Pensão Base PAG-10776/1
2051;Pensão Base 13o-10776/1
2052;Pensão Base FER-10787/1
2053;Pensão Base PAG-10787/1
2054;Pensão Base 13o-10787/1
2055;Pensão Base FER-10793/1
2056;Pensão Base PAG-10793/1
2057;Pensão Base 13o-10793/1
2058;Pensão Base PAG-10809/1
2059;Pensão Base 13o-10809/1
2060;Pensão Base PAG-10809/2
2061;Pensão Base 13o-10809/2
2062;Pensão Base PAG-10809/3
2063;Pensão Base 13o-10809/3
2064;Pensão Base PAG-10813/1
2065;Pensão Base PAG-10813/2
2066;Pensão Base PAG-10832/1
2067;Pensão Base 13o-10832/1
2068;Pensão Base PAG-10832/2
2069;Pensão Base 13o-10832/2
2070;Pensão Base FER-10840/1
2071;Pensão Base PAG-10840/1
2072;Pensão Base 13o-10840/1
2073;Pensão Base PAG-10847/1
2074;Pensão Base 13o-10847/1
2075;Pensão Base PAG-10847/2
2076;Pensão Base 13o-10847/2
2077;Pensão Base FER-10860/1
2078;Pensão Base PAG-10860/1
2079;Pensão Base 13o-10860/1
2080;Pensão Base FER-10865/1
2081;Pensão Base PAG-10865/1
2082;Pensão Base 13o-10865/1
2083;Pensão Base PAG-10884/1
2084;Pensão Base PAG-10884/2
2085;Pensão Base 13o-10884/2
2086;Pensão Base PAG-10885/1
2087;Pensão Base 13o-10885/1
2088;Pensão Base PAG-10885/2
2089;Pensão Base 13o-10885/2
2090;Pensão Base PAG-10899/1
2091;Pensão Base 13o-10899/1
2092;Pensão Base PAG-10899/2
2093;Pensão Base 13o-10899/2
2094;Pensão Base PAG-10899/3
2095;Pensão Base 13o-10899/3
2096;Pensão Base PAG-10911/1
2097;Pensão Base PAG-10920/1
2098;Pensão Base 13o-10920/1
2099;Pensão Base FER-10921/1
2100;Pensão Base PAG-10921/1
2101;Pensão Base 13o-10921/1
2102;Pensão Base PAG-10930/1
2103;Pensão Base 13o-10930/1
2104;Pensão Base PAG-10950/1
2105;Pensão Base 13o-10950/1
2106;Pensão Base FER-10960/1
2107;Pensão Base PAG-10960/1
2108;Pensão Base 13o-10960/1
2109;Pensão Base FER-11030/1
2110;Pensão Base PAG-11030/1
2111;Pensão Base 13o-11030/1
2112;Pensão Base PAG-11058/1
2113;Pensão Base PAG-11058/2
2114;Pensão Base FER-11073/1
2115;Pensão Base PAG-11073/1
2116;Pensão Base 13o-11073/1
2117;Pensão Base FER-23015/1
2118;Pensão Base PAG-23015/1 C/ RESC
2119;Pensão Base 13o-23015/1
2120;Pensão Base, inclui Abono, liquido
2121;Pensão Base - 13o Salário
2122;Pensão Base PAG-24168/1
2123;Pensão Base 13o-24168/1
2124;Pensão Base PAG-24722/1
2125;Pensão Base 13o-24722/1
2126;Pensão Base - FÉRIAS
2127;Pensão Base PAG-25318/1
2128;Pensão Base 13o-25318/1
2129;Pensão Base PAG-25511/1
2130;Pensão Base 13o-25511/1
2131;Pensão Base PAG-26767/1
2132;Pensão Base PAG-40364/1
2133;Pensão Base PAG-40496/1
2134;Pensão Base PAG-40502/1
2135;Pensão Base FER-52120/1
2136;Pensão Base PAG-52120/1
2137;Pensão Base 13o-52120/1
2138;Pensão Base FER-80364/1
2139;Pensão Base PAG-80364/1
2140;Pensão Base 13o-80364/1
2141;Pensão Base FER-100158/1
2142;Pensão Base PAG-100158/1
2143;Pensão Base 13o-100158/1
2144;Pensão Base FER-100310/1
2145;Pensão Base PAG-100310/1
2146;Pensão Base 13o-100310/1
2147;Pensão Base FER-100462/1
2148;Pensão Base PAG-100462/1
2149;Pensão Base 13o-100462/1
2150;Pensão Base FER-100469/1
2151;Pensão Base PAG-100469/1
2152;Pensão Base 13o-100469/1
2153;Pensão Base FER-100505/1
2154;Pensão Base PAG-100505/1
2155;Pensão Base 13o-100505/1
2156;Pensão Base FER-100511/1
2157;Pensão Base PAG-100511/1
2158;Pensão Base 13o-100511/1
2159;Pensão Base FER-100574/1
2160;Pensão Base PAG-100574/1
2161;Pensão Base 13o-100574/1
2162;Pensão Base FER-100603/1
2163;Pensão Base PAG-100603/1
2164;Pensão Base 13o-100603/1
2165;Pensão Base FER-100606/1
2166;Pensão Base PAG-100606/1
2167;Pensão Base 13o-100606/1
2168;Pensão Base FER-100623/1
2169;Pensão Base PAG-100623/1
2170;Pensão Base 13o-100623/1
2171;Pensão Base FER-100857/1
2172;Pensão Base PAG-100857/1
2173;Pensão Base 13o-100857/1
2174;Pensão Base FER-100877/1
2175;Pensão Base PAG-100877/1
2176;Pensão Base 13o-100877/1
2177;Pensão Base FER-100881/1
2178;Pensão Base PAG-100881/1
2179;Pensão Base 13o-100881/1
2180;Pensão Base FER-100906/1
2181;Pensão Base PAG-100906/1
2182;Pensão Base 13o-100906/1
2183;Pensão Base FER-100906/2
2184;Pensão Base PAG-100906/2
2185;Pensão Base 13o-100906/2
2186;Pensão Base FER-100931/1
2187;Pensão Base PAG-100931/1
2188;Pensão Base 13o-100931/1
2189;Pensão Base FER-100931/2
2190;Pensão Base PAG-100931/2
2191;Pensão Base 13o-100931/2
2192;Pensão Base FER-101003/1
2193;Pensão Base PAG-101003/1
2194;Pensão Base 13o-101003/1
2195;Pensão Base FER-101012/1
2196;Pensão Base PAG-101012/1
2197;Pensão Base 13o-101012/1
2198;Pensão Base FER-101093/2
2199;Pensão Base PAG-101093/2
2200;Pensão Base 13o-101093/2
2201;Pensão Base FER-101103/1
2202;Pensão Base PAG-101103/1
2203;Pensão Base 13o-101103/1
2204;Pensão Base FER-101103/2
2205;Pensão Base PAG-101103/2
2206;Pensão Base 13o-101103/2
2207;Pensão Base FER-101238/1
2208;Pensão Base PAG-101238/1
2209;Pensão Base 13o-101238/1
2210;Pensão Base FER-101250/1
2211;Pensão Base PAG-101250/1
2212;Pensão Base 13o-101250/1
2213;Pensão Base FER-101250/2
2214;Pensão Base PAG-101250/2
2215;Pensão Base 13o-101250/2
2216;Pensão Base FER-101259/1
2217;Pensão Base PAG-101259/1
2218;Pensão Base 13o-101259/1
2219;Pensão Base PAG-100627/1
2220;Pensão Base FER-100627/1
2221;Pensão Base13º-100627/1
2222;Pensão
2223;Pensão Base PAG-26767/1
2224;Pensão Base PAG-27382/1
2225;Pensão Base PAG-27348/1
2226;Pensão Base 13o-27382/1
2227;Pensão Base FER-27382/1
2228;Pensão Base 13o-27348/2
2229;Pensão Base FER-24168/1
2230;Pensão Base PAG-10688
2231;Pensão Base PAG-10688/2
2232;Pensão Base PAG-27668/1
2233;Pensão Base 13o-27668/1
2234;Pensão Base FER-10885
2235;Pensão Auxilio Funeral
2236;Pensão Base PAG-40462
2237;Pensão Base 13o-40462
2238;Pensão Alimenticia 26767/1 -  13
2239;Pensao Base 13º-10688/2
2240;Pensão Base PAG - 10835/1
2241;Pensão Base FER-26767/1
2242;Pensão Base FER-100574/2
2243;Pensão Base 13o-100574/2
2244;Pensão sobre QPL15 e ATS - 11159
2245;Pensão Base - inclui Abono + Rescisão, liquidos
2246;Pensão Base -Remuneração BRUTA
2247;Pensão Base - 13º salário BRUTO
2248;Pensão alim.FÉRIAS - BRUTO
2249;Pensão CLT mensal sem 1/3 férias
2250;Pensão alim. 101060 com dias de férias sem terço férias
2300;Pensão Alimenticias/ Salário Minimo, SEM Rescisão
2300;Pensão Alimenticia sobre o Sal.Minimo
2301;Pensão Alim.Valor - Mensal-SEM Resc.
2301;Pensão Alimenticia - Valor Fixo
2302;Pensão Valor s/13º Salario
2304;Pensão Alimenticia sobre o Sal.Minimo 13º
2306;Pensão Alimenticia sobre o Sal.Minimo
2307;Pensão Alimenticia sobre o Sal.Minimo 13
2308;Pensão Alimenticia 26767/1 -  13
2309;Pensão Base PAG-10524/1(Informado)
2310;Pensão alimentícia 27455
2311;Pensão alimentícia 27455 - 13º sal.
2312;Pensão alimentícia 26854
2313;Pensão alimentícia 13º 26854
2314;Pensão alimentícia 27048 - sem férias
2315;Pensão alimentícia 13º - 27048
2316;Pensão alimentícia 27770 - sem férias
2317;Pensão alimentícia 13º - 27770
2318;Pensão sobre o bruto
2319;pensão bruto férias s/abono e 1/3
2320;PENSAO - INFORMADO
2321;PA em Valor - Férias
2322;PA em Valor sobre 13º salário
2323;Pensão Base PAG-100576/1
2324;Pensão alimentícia 13º- 100576
2325;Pensão alimentícia - férias - 100576
2326;Pensão Base PAG-100574/2
2327;pensão alimentícia 100627/2
2328;pensão alimentícia 100627/2 férias sem terço
2329;Pens. Alimenticia, sem abono, líquido
2330;Pensão alimentícia 13º líquido
2331;pensão alimentícia sobre o líquido (com terço)
2332;Pensão mensal 28077 sem férias
2333;Pens. Alimenticia, sem abono, líquido (2)
2335;Pensão Base FER-52120/2
2336;Pensão Base PAG-52120/2
2337;Pensão Base 13o-52120/3
2338;Pensão base COMISSION Mensal LÍQUIDO
2339;Pensão Base COMISSION 13º SEM RESCISÃO
2340;Pensão Base COMISSION Férias
2341;Perc. liquido OU 73,75% SMínimo
2342;Perc sobre 13º liq OU 73,75 sobre SMínimo
2343;Perc. liquido OU 2 SMínimo
2344;Perc sobre 13º liq OU 2 SMínimo
2345;Pensão Bruto FER - 101241
2346;Pensão Bruto 13º - 101241
2347;Pensão PAG-INSS - 29622
2348;Pensão FER - 29622
2349;Pensão 13º-INSS - 29622
2350;Pensão RRA para DIRF
2351;Pensão RRA para DIRF - 2
2410;PREV SOCIAL FERIAS MANAD
2412;BASE FGTS 13º
2570;DEVOL TETO 13º
2807;DEDUCAO DEPEND FERIAS
2926;ALÍQUOTA ADICIONAL - Decreto nº 61.151, art 26, inciso II
2927;ALÍQUOTA ADICIONAL 13º - Decreto nº 61.151, art 26, inciso II
3000;Outros
3001;Media Adicional Noturno
3002;Media Horas Extras - 50%
3003;Media Horas Extras -100%
3020;GRAT.ESPECIAL BPREV. MES ANTERIOR
3039;Ferias fim dif reaj MANAD
3190;Gliep com prev Artigo 10 da Lei nº 17.730/2021
3220;Gliep sem prev Artigo 10 da Lei nº 17.730/2021
3310;GNA - comissionados - art 31 L 13637/03 FGTS
3312;ABONO PERMANENCIA DE 13º
3330;Integração de férias (FIM) MANAD
3381;Horas-aula anos anteriores Ato 1196/12
3570;Ação teto (vant pess) - dep.juízo
3641;DEVOL. CONSIG - Daycoval
3648;Devolução Consignado - Banco do Brasil
3650;Devolução Consignado - Caixa Econômica Federal
3653;DEVOL. CONSIG - Santander
3702;1/3 Ferias fim dif reaj MANAD
3926;ALÍQUOTA ADICIONAL - Decreto nº 61.151, art 26, inciso III
3927;ALÍQUOTA ADICIONAL 13º - Decreto nº 61.151, art 26, inciso III
4033;Ajuste Previdencia 13º 19B
4253;Abate 253 da Previdencia 13º
4292;Abate 292 da Previdencia 13º
4308;Abate 308 da Previdencia 13º
4310;Abate 310 da Previdencia 13º
4317;Abate 317 da Previdencia 13º
4322;Abate 322 da Previdencia 13º
4323;Abate 323 da Previdencia 13º
4324;Abate 324 da Previdencia 13º
4325;Abate 325 da Previdencia 13º
4326;Abate 326 da Previdencia 13º
4410;Devolução Pensão Alimenticia cobr. a maior
4411;Pensão - dedução de bases anteriores
4570;Ação teto - fórmula anterior à Dec Mesa
4825;Abate Previdencia - Base IPREM
4826;Credita  Previdencia - Base IPREM 20B
4827;Abate Base Previdencia Privada Ev 25
4828;Teto - Total 1 - Total Vectos sem abono perm.
4828;Teto - Total 1 - Total de Proventos do Servidor
4829;Teto - Total 2 - Total 1 menos o evento 570
4829;Teto - Total 2 - Total 1 menos Evento 570
4830;Teto - Total 3 - Total de Vantagens que são BP
4830;Teto - Total 3 - Total Vantagens que são BP
4831;PREVIDENCIA
4832;PREVIDENCIA  19B
5414;DESCONTO PREVIDENCIA
5570;TETO do  Desembargador
6000;Plano de Saúde - Médico - Servidor
6001;Plano de Saúde - Odontológico - Servidor
6002;Plano de Saúde - Médico - Dependente 1
6003;Plano de Saúde - Odontológico - Dependente 1
6004;Plano de Saúde - Médico - Dependente 2
6005;Plano de Saúde - Odontológico - Dependente 2
6006;Plano de Saúde - Médico - Dependente 3
6007;Plano de Saúde - Odontológico - Dependente 3
6008;Plano de Saúde - Médico - Dependente 4
6009;Plano de Saúde - Odontológico - Dependente 4
6010;Plano de Saúde - Médico - Dependente 5
6011;Plano de Saúde - Odontológico - Dependente 5
6012;Plano de Saúde - Médico - Dependente 6
6013;Plano de Saúde - Odontológico - Dependente 6
6014;Plano de Saúde - Médico - Dependente 7
6015;Plano de Saúde - Odontológico - Dependente 7
6016;Plano de Saúde - Médico - Dependente 8
6017;Plano de Saúde - Odontológico - Dependente 8
6018;Plano de Saúde - Médico - Dependente 9
6019;Plano de Saúde - Odontológico - Dependente 9
6020;Plano de Saúde - Médico - Dependente 10
6021;Plano de Saúde - Odontológico - Dependente 10
6022;Plano de Saúde - Médico - Dependente 11
6023;Plano de Saúde - Odontológico - Dependente 11
6024;Plano de Saúde - Médico - Dependente 12
6025;Plano de Saúde - Odontológico - Dependente 12
6026;Plano de Saúde - Médico - Dependente 13
6027;Plano de Saúde - Odontológico - Dependente 13
6028;Plano de Saúde - Médico - Dependente 14
6029;Plano de Saúde - Odontológico - Dependente 14
6030;Plano de Saúde - Médico - Dependente 15
6031;Plano de Saúde - Odontológico - Dependente 15
6032;Plano de Saúde - Médico - Dependente 16
6033;Plano de Saúde - Odontológico - Dependente 16
6034;Plano de Saúde - Médico - Dependente 17
6035;Plano de Saúde - Odontológico - Dependente 17
6036;Plano de Saúde - Médico - Dependente 18
6037;Plano de Saúde - Odontológico - Dependente 18
6038;Plano de Saúde - Médico - Dependente 19
6039;Plano de Saúde - Odontológico - Dependente 19
6040;Plano de Saúde - Médico - Dependente 20
6041;Plano de Saúde - Odontológico - Dependente 20
6042;Plano de Saúde - Médico - Dependente 21
6043;Plano de Saúde - Odontológico - Dependente 21
6044;Plano de Saúde - Médico - Dependente 22
6045;Plano de Saúde - Odontológico - Dependente 22
6046;Plano de Saúde - Médico - Dependente 23
6047;Plano de Saúde - Odontológico - Dependente 23
6048;Plano de Saúde - Médico - Dependente 24
6049;Plano de Saúde - Odontológico - Dependente 24
6050;Plano de Saúde - Médico - Dependente 25
6052;RESERVADO - USO FÁBRICA
6063;RESERVADO USO FÁBRICA
6064;RESERVADO - USO FÁBRICA
6070;RESERVADO - USO FÁBRICA
6071;RESERVADO - USO FÁBRICA
6074;RESERVADO - USO FÁBRICA
6075;RESERVADO - USO FÁBRICA
6076;RESERVADO - USO FÁBRICA
6077;RESERVADO - USO FÁBRICA
6078;RESERVADO - USO FÁBRICA
6079;RESERVADO - USO FÁBRICA
6081;RESERVADO - USO FÁBRICA
6082;RESERVADO - USO FÁBRICA
6083;RESERVADO - USO FÁBRICA
6084;RESERVADO - USO FÁBRICA
6085;RESERVADO - USO FÁBRICA
6086;RESERVADO - USO FÁBRICA
6087;RESERVADO - USO FÁBRICA
6088;RESERVADO - USO FÁBRICA
6089;RESERVADO - USO FÁBRICA
6090;RESERVADO - USO FÁBRICA
6091;RESERVADO - USO FÁBRICA
6092;RESERVADO - USO FÁBRICA
6093;RESERVADO - USO FÁBRICA
6094;RESERVADO - USO FÁBRICA
6095;RESERVADO - USO FÁBRICA
6096;RESERVADO - USO FÁBRICA
6097;RESERVADO - USO FÁBRICA
6098;RESERVADO - USO FÁBRICA
6099;RESERVADO - USO FÁBRICA
6100;RESERVADO - USO FÁBRICA
6101;RESERVADO - USO FÁBRICA
6102;RESERVADO - USO FÁBRICA
6103;RESERVADO - USO FÁBRICA
6104;RESERVADO - USO FÁBRICA
6105;RESERVADO - USO FÁBRICA
6106;RESERVADO - USO FÁBRICA
6107;RESERVADO - USO FÁBRICA
6108;RESERVADO - USO FÁBRICA
6109;RESERVADO - USO FÁBRICA
6110;RESERVADO - USO FÁBRICA
6111;RESERVADO - USO FÁBRICA
6112;RESERVADO - USO FÁBRICA
6113;RESERVADO - USO FÁBRICA
6114;RESERVADO - USO FÁBRICA
6115;RESERVADO - USO FÁBRICA
6116;RESERVADO - USO FÁBRICA
6117;RESERVADO - USO FÁBRICA
6118;RESERVADO - USO FÁBRICA
6119;RESERVADO - USO FÁBRICA
6120;RESERVADO - USO FÁBRICA
6121;RESERVADO - USO FÁBRICA
6122;RESERVADO - USO FÁBRICA
6123;RESERVADO - USO FÁBRICA
6124;RESERVADO - USO FÁBRICA
6125;RESERVADO - USO FÁBRICA
6126;RESERVADO - USO FÁBRICA
6127;RESERVADO - USO FÁBRICA
6128;RESERVADO - USO FÁBRICA
6129;RESERVADO - USO FÁBRICA
6130;RESERVADO - USO FÁBRICA
6131;RESERVADO - USO FÁBRICA
6132;RESERVADO - USO FÁBRICA
6133;RESERVADO - USO FÁBRICA
6134;RESERVADO - USO FÁBRICA
6135;RESERVADO - USO FÁBRICA
6136;RESERVADO - USO FÁBRICA
6137;RESERVADO - USO FÁBRICA
6138;RESERVADO - USO FÁBRICA
6139;RESERVADO - USO FÁBRICA
6140;RESERVADO - USO FÁBRICA
6141;RESERVADO - USO FÁBRICA
6142;RESERVADO - USO FÁBRICA
6143;RESERVADO - USO FÁBRICA
6144;RESERVADO - USO FÁBRICA
6145;RESERVADO - USO FÁBRICA
6146;RESERVADO - USO FÁBRICA
6147;RESERVADO - USO FÁBRICA
6148;RESERVADO - USO FÁBRICA
6149;RESERVADO - USO FÁBRICA
6150;RESERVADO - USO FÁBRICA
6151;RESERVADO - USO FÁBRICA
6152;RESERVADO - USO FÁBRICA
6153;RESERVADO - USO FÁBRICA
6154;RESERVADO - USO FÁBRICA
6155;RESERVADO - USO FÁBRICA
6156;RESERVADO - USO FÁBRICA
6157;RESERVADO - USO FÁBRICA
6158;RESERVADO - USO FÁBRICA
6159;RESERVADO - USO FÁBRICA
6160;RESERVADO - USO FÁBRICA
6161;RESERVADO - USO FÁBRICA
6162;RESERVADO - USO FÁBRICA
6163;RESERVADO - USO FÁBRICA
6164;RESERVADO - USO FÁBRICA
6165;RESERVADO - USO FÁBRICA
6166;RESERVADO - USO FÁBRICA
6167;RESERVADO - USO FÁBRICA
6168;RESERVADO - USO FÁBRICA
6169;RESERVADO - USO FÁBRICA
6170;RESERVADO - USO FÁBRICA
6171;RESERVADO - USO FÁBRICA
6172;RESERVADO - USO FÁBRICA
6173;RESERVADO - USO FÁBRICA
6174;RESERVADO - USO FÁBRICA
6175;RESERVADO - USO FÁBRICA
6176;RESERVADO - USO FÁBRICA
6177;RESERVADO - USO FÁBRICA
6178;RESERVADO - USO FÁBRICA
6179;RESERVADO - USO FÁBRICA
6180;RESERVADO - USO FÁBRICA
6181;RESERVADO - USO FÁBRICA
6182;RESERVADO - USO FÁBRICA
